id,name,popularity,genres
2R21vXR83lH98kGeO99Y66,Anuel AA,89,reggaeton;trap latino;urbano latino;latin
4SsVbpTthjScTS7U2hmr1X,Arcángel,86,reggaeton;trap latino;urbano latino
4q3ewBCX7sLwd24euuV69X,Bad Bunny,98,reggaeton;trap latino;urbano latino;latin
2C6i0I5RiGzDKN9IAF8reh,Banda MS de Sergio Lizárraga,81,banda;norteño;grupera;música mexicana;ranchera;corrido
0v7JYEoQOQbzNNESKwxmzT,Banda Tierra Sagrada,62,banda;corrido
5QS9NAK4AgJPTcRe472pZA,Bb trickz,62,
4obzFoKoKRHIphyHzJ35G3,Becky G,77,reggaeton;latin
0cr0zp1CI5bVOrXaVzfpUI,bic,33,
716NhGYqD1jl2wI1Qkgq36,Bizarrap,81,argentine trap;trap latino;urbano latino
6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,76,argentine trap;trap latino;turreo
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ,83,reggaeton chileno;chilean trap;chilean mambo;reggaeton
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,89,reggaeton;latin
1bAftSH8umNcGZ0uyV7LMg,Duki,81,argentine trap;trap;trap latino
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,81,trap latino;urbano latino
0AqlFI0tz2DsEoJlKSIiT9,Emilia,76,argentine trap
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,78,corridos tumbados;sad sierreño;corrido;sierreño;música mexicana;corridos bélicos
2LRoIwlKmHjgvigdNGBHNo,Feid,88,reggaeton;urbano latino
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,92,corrido;corridos tumbados;corridos bélicos;música mexicana;sierreño;banda;sad sierreño;electro corridos
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,82,corrido;corridos tumbados;corridos bélicos;música mexicana;sad sierreño;electro corridos;sierreño;banda
1dKdetem2xEmjgvyymzytS,Grupo Firme,83,banda;corrido;norteño;sierreño;grupera;ranchera;música mexicana
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,86,cumbia norteña;banda;norteño;música mexicana;corrido;corridos tumbados;grupera;tejano;ranchera
7Gi6gjaWy3DxyilpF1a8Is,Junior H,90,corridos tumbados;corrido;corridos bélicos;sad sierreño;sierreño;música mexicana;banda
790FomKkXshlbRYZFtlgla,KAROL G,89,reggaeton;latin;urbano latino
4m6ubhNsdwF4psNf3R8kwR,KHEA,74,argentine trap;trap;trap latino
49EE6lVLgU8sp7dFgPshgM,La Adictiva,72,banda;norteño;grupera
5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,83,banda;norteño;grupera
4IRXvbsbSP4oHm4adUdQlt,Laura sad,34,
4UqfXEVibVEPfoopm7Pduc,Los 2 de la S,57,banda;sierreño;norteño
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,83,corrido;corridos bélicos;corridos tumbados;electro corridos;dembow belico;banda;sierreño;sad sierreño;música mexicana
19HM5j0ULGSmEoRcrSe5x3,Milo j,85,argentine trap
0Q8NcsJwoCbZOHHW63su5S,Mora,83,urbano latino;trap latino;reggaeton
7iK8PXO48WeuP03g8YR51W,Myke Towers,87,reggaeton;trap latino;urbano latino
0elWFr7TW8piilVRYJUe4P,Natanael Cano,86,corridos tumbados;corrido;corridos bélicos;sierreño;sad sierreño;electro corridos;música mexicana;banda
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,75,argentine trap
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,84,corrido;corridos tumbados;corridos bélicos;electro corridos;dembow belico;sad sierreño;sierreño
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,89,reggaeton;trap latino;latin;urbano latino
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,77,argentine trap;trap latino;reggaeton
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,89,corrido;corridos tumbados;corridos bélicos;música mexicana;sad sierreño;banda
52iwsT98xCoGgiGntTiR7K,Quevedo,84,
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,90,reggaeton;urbano latino;trap latino;latin
04mTej6RpWzBxGwhfThpIi,Rojuu,62,hyperpop
3QchzUOTSCKWmaRGEEiuir,Saramalacara,58,hyperpop;argentine trap
77ziqFxp5gaInVrF2lj4ht,Sech,80,reggaeton;urbano latino
0GM7qgcRCORpGnfcN2tCiB,Tainy,80,reggaeton
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,86,corrido;corridos tumbados;corridos bélicos;electro corridos;dembow belico;música mexicana
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,79,reggaeton;urbano latino;latin
3qsKSpcV3ncke3hw52JSMB,Young Miko,78,trap latino
4aSlfXDn9R60UlbZEboBUy,YOVNGCHIMI,70,trap latino;urbano latino
1KUm2LsC3HnPKHvIoo4cKu,Ysrael Barajas,63,electro corridos;corrido;corridos tumbados;corridos bélicos;dembow belico;sad sierreño
12vb80Km0Ew53ABfJOepVz,Ñengo Flow,83,reggaeton;trap latino
5QzDzXfXC5lepOBeQXBiVO,Marciano Cantero,62,rock en español;mexican rock;latin rock
2R7uy52biUCTdDH0OctTPU,Ed Maverick,38,sad sierreño;corridos tumbados
0f6U482Lbo91QNqNFH4Tat,Nesi,44,dembow;trap latino
135NPMwCC5HMWfbLl3BjyX,Marca MP,40,corridos tumbados;sad sierreño;corrido
2kMVBdVpeeZOVpeirhykCc,DommoBeats,35,
5ZGrM7y0Z6yF3s9dBjHWi9,Grupo Clasificado,66,corrido;corridos bélicos;sierreño;corridos tumbados
5dbaLmK5SHLLg8Z4CcTJpX,Greeicy,70,colombian pop;pop urbano
1uZVxckdGGKhFMpCnupXmP,Los Pleneros de la Cresta,64,
0XK6kT7xcZAlcYrNjOgzJe,Carla Morrison,73,latin indie
2BJWqrBKEqtZUKWtzmpPDj,Tobal Mj,66,reggaeton chileno;chilean trap;chilean mambo;mambo
1aWJsBQa67l72j1VT3D6Ow,Micro TDH,70,
0yjlGMMFuIci8JCTAOb2AU,K4,31,argentine trap
7CvTknweLr9feJtRGrpDBy,FloyyMenor,77,reggaeton chileno
2dIgFjalVxs4ThymZ67YCE,Stray Kids,87,k-pop;noise music
4A4qYy2jK9DDN1OHV0nLkH,Código FN,69,corrido;corridos bélicos;corridos tumbados;electro corridos;norteño;banda;dembow belico;sierreño;sad sierreño
1E7XNYAEwSLSAiLDYRMs1G,Albert Hype,27,
47MpMsUfWtgyIIBEFOr4FE,Lunay,70,reggaeton
0WI8OfWCRvK4nGHmKfFQmd,Alex Zurdo,69,christian reggaeton;christian;christian reggae;christian hip hop;christian pop
0vZ2W0xkBCHRGNkb8seYtQ,Jesus Payan,29,corridos bélicos;corrido
6sXu0pNqYJNlS46xqSwKxZ,Alcalde La Sonora,56,cumbia sonidera;cumbia;electrocumbia
37MCoi4pcUf9EKsPXeuCqU,Tan Bionica,70,argentine rock
20lftkHSXXaaNVpe3Y2W2J,Banda La Fugitiva De Mike Miramontes,49,banda
0y5H4Nr7bNWfBINIh8671t,Fresy Franklin,20,trap latino
22dFwJoRBV51ue5TGnC7Dt,Beny Jr,74,drill
29fkrV8IuMETQBv8PgC6Lw,Mattei,54,rkt
2e5kXDvESsDPMyuQZ0qouH,Shootter Ledo,39,trap latino
1C5ow4APQX75JXTiHRU5fR,KolomB,11,
0d7jzRhjOifL8X9hxNvbEn,El Micha,53,timba;salsa
3MrDVzg7ZXaYMyQmbDInr7,WIU,73,brazilian trap;trap;trap funk;brazilian hip hop
09T10LRB7GvEn4bUNTWGVv,Alexis y Zion,26,
5CLkLBa8amfsdvs6b1R7Cv,Alejandro Buelna,38,corridos tumbados;corrido;corridos bélicos;sad sierreño
0eHWAfgyxZWAKR6NZ8nsd9,Julio Voltio,51,latin hip hop
5c8ZR64evQ00Spl73s76fo,Chuyin,73,corrido;corridos tumbados;corridos bélicos
7IiCm7VkqzW7vN0MY9AzHe,José Guicho,49,electro corridos;dembow belico;corrido;corridos bélicos;corridos tumbados
4ixNZvQuuzCDxBsxO9zE6L,Gonzy,62,
4YYxffPVDFe9XoqqbRW6Bq,L-Gante,64,rkt;turreo
1zQGq31aajlt5qvmHyrwQn,Luis Carrillo,64,electro corridos;dembow belico;corrido
6TKygPpVT29oGUogu4J9Ec,Yan Block,83,
4fQPqLk2LwWrrc6OBMzXZj,Uriel Gaxiola,57,electro corridos;dembow belico;corridos tumbados;corrido;corridos bélicos
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,82,
0bsQ8jCTdRt3F8R5nNU3hw,Fetti031,44,dembow;trap latino
2O8vbr4RYPpk6MRA4fio7u,SAIKO,74,
3pTZ5sCcE1o2O9sWn5yQMg,Hydro,57,trap latino
3pkc0OK2BmkQKZNgsa8lOc,Joaqo,29,argentine trap
5X8Uu9qHN3KXLH2Fws87LB,Anubiis,57,trap latino
0rzgd5jwjTPDQfWcKp50AE,El Arma Secreta,13,trap latino
46K14JAfAHpxTSkb6KkFfN,Juicy BAE,53,neoperreo
1RyvyyTE3xzB2ZywiAwp0i,Future,91,rap
0BqURncJM5B1BBu7UM51eq,Guaynaa,64,reggaeton
4TnGh5PKbSjpYqpIdlW5nz,MONSTA X,62,k-pop;noise music
6pNgnvzBa6Bthsv8SrZJYl,Hatsune Miku,71,vocaloid
1PruL3P8slDEQAjSuOjuPd,Spiff TV,57,bachata
4cYbf45YbZptNISnhay0xH,ROA,79,trap latino
7y5vacxuCM2lyUEEPnQcwd,RobGz,49,trap latino
5kCv5opFav2P7nPl8FiEQx,Conep,54,trap latino
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,77,argentine trap
3VHAySZQPlfGlNLslzXYpN,NATHY PELUSO,68,
2YTyoyU90b3CF5x91YjVaQ,Playero,56,reggaeton
07Hm9w6ksRaggaDBpN8RRd,0-600,51,argentine trap;trap
1UdLtKAD4FbM7r2XCfAWAs,william,54,finnish hip hop;finnish pop
1TtXnWcUs0FCkaZDPGYHdf,Darell,77,reggaeton;trap latino;dembow;urbano latino
6GI52t8N5F02MxU0g5U69P,Santana,72,
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,77,
7hNfq19HIL0PRumBReFlsp,La Cuatiza,45,corrido;corridos tumbados;corridos bélicos;electro corridos
2vZszD281Mt6bk3xL8Lhh1,Jr Torres,34,corridos tumbados;corrido;corridos bélicos
2mO8bWmorA4kDukv9Xbioj,Valerio Gaytán,26,banda
1mUJ5FdyqTx1UewE6z6imQ,Uziel Payan,40,corrido;corridos bélicos;sierreño
30CTTIqrcr82nS6B40j975,Robot95,60,mexican hip hop;latin hip hop
00XhexlJEXQstHimpZN910,Brytiago,76,trap latino;reggaeton;urbano latino;trap
4SN6H0xzsZfocwu58sBy0d,Meluchis,19,guaracha;tribal house
1iXdpCz3AeLEAvzqeNodt8,Victor Cibrian,63,corrido;corridos bélicos;corridos tumbados;banda;sierreño
5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,62,southern hip hop
6UbmqUEgjLA6jAcXwbM1Z9,BIBI,67,k-pop;k-rap
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,80,melodic rap
25uiPmTg16RbhZWAqwLBy5,Charli xcx,84,hyperpop;art pop
0bUZrFj7rstq07E4iAJHgZ,KC Lights,50,house
4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,76,new wave;synthpop
1QBIsAL0onqKUjlO8Nl9IM,Alex Coppel,39,corridos bélicos
11AFqsz5YS7kc3h3jPoCJi,Rsiete,18,
48vP5SxlTO6yOI7SLKIOQV,Obie Wanshot,54,argentine trap;trap
32Aw9aJJoXXC1Vn3zqzJbQ,TV Noise,32,bass house
4QsjdD4tkCOSUqRSDoazaM,Jakka,7,
2Atk4SWx7daQtItQBa735M,Yeri Mua,68,reggaeton mexa;electro corridos
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,83,
0vd9wwMIQeKaNQsaHUbcl2,Arsenal De Guerra,18,corrido;corridos bélicos
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,75,
5VdG4Pm8hryqK7jAkdFlIo,Cheo Gallego,49,
0rUu2qzqezBrCddX1RuUyJ,Omar Camacho,78,electro corridos;dembow belico;corrido;corridos tumbados
5KSiZki8gCESiSq0z35Ald,Fantomel,57,
7C69hD7HaCYbhgrVqYiHXU,Natalie López,11,sad sierreño;corridos tumbados;corrido;sierreño
55kBvzKEORCymfAWcBzGSb,Flagrant Drvms,19,latin house;tribal house;afro house;afro tech
2eA8qotLYMUNzlnjL8blKT,Tru Comers,46,boom bap;latin hip hop
2A3uvEbM1K4QWaviVVH5LQ,Maykol theyver,1,
5QdEbQJ3ylBnc3gsIASAT5,G Herbo,73,chicago drill;drill
3LKXWvXFWrkwUzJWxzwVpW,Tony Dize,73,reggaeton
71scL1K5Nu1Z7FgBkg3Gjk,Tadu Vázquez,48,argentine trap
3ou3XMRNmyDSy6gnC1bSgN,TAICHU,57,neoperreo;argentine trap
08KPwXKOzDrD25Otsx9IEP,Estrada,5,
23DYJsw4uSCguIqiTIDtcN,Southside,59,chicago drill
7ueBUDPDsj1mw0TEA3b9nY,Blacky Drippy,39,drill;new york drill
1tuNNda2SSH3o4lUms5K6C,Sebastian Esquivel,61,electro corridos;dembow belico;corrido;corridos bélicos;corridos tumbados
32YGQsNtuwyobFFnn8ikpe,Hijos De Barron,56,sierreño;corrido;norteño;banda;sad sierreño
5eCshP4zg9fMuQvc1LygXI,Sindicato Del Ritmo,33,
1lgtR3WlcFxEy6yPoOh0J2,Hozwal,50,trap latino
5cTFbgW0bCLX6aqRgFGwso,Gallagher,33,italian trap;argentine trap
5B2q0hvgjM3NbbKSmyylCQ,Wstuff,26,trap latino
2QUvtLq6oQaX0LNsYY2fas,Cauty,56,reggaeton;urbano latino
1CTYCiBGcZTsZBzYoa4pxM,Tapy Quintero,48,corrido;norteño;corridos bélicos
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,83,rap
0c173mlxpT3dSFRgMO8XPh,Big Sean,76,
0bcZsLQV8MCeU0ylWbw23p,Aqua VS,54,chilean trap;reggaeton chileno;chilean mambo
69UypehHabb68utzfjAVlV,Kany García,74,latin pop
28gNT5KBp7IjEOQoevXf9N,Camilo,80,colombian pop;pop urbano
2kqUKsTuEj1lPbm6BSn1AU,Rich Music LTD,64,reggaeton
4WzBqbc7fxl2y8XrznMSqf,Candelita,37,
65jIUih0ZeTUJhSTRuYxpi,Omy de Oro,54,trap latino;urbano latino
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,74,old school hip hop;gangster rap;west coast hip hop;g-funk;hip hop
5yo2KNGw3Z6a9n0Xiswb50,BROKIX,44,
08erObvNX7rs7d4pbuaRCQ,Di Genius,50,dancehall;soca;ragga
7FNnA9vBm6EKceENgCGRMb,Anitta,81,brazilian pop;funk pop;brazilian funk;funk carioca
0XIKGBo9PnK1ApI5tZA60d,DaniLeigh,56,r&b
3hJDFvn5at14nstUHxTvaV,T.Y.S,51,dembow
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,72,electro house;edm
0IoWUuXfqpkfpxBRzthHU4,Codiciado,67,corrido;corridos bélicos;corridos tumbados;banda
59wfkuBoNyhDMQGCljbUbA,Diddy,73,hip hop;east coast hip hop
0YWTSwecJ4cKrEQjrh46la,Evar,48,argentine trap;hyperpop
5JpxOTduIHuTcuosdLBC14,Miranda León,59,electro corridos;sad sierreño;dembow belico
5EUy0phiO3drXdffqCJO9j,Rodel G,18,electro corridos;dembow belico
1Zkxm1dM3HI3QkTmxUEVQA,Los Gemelos De Sinaloa,67,corrido;corridos bélicos;corridos tumbados;sad sierreño;sierreño;música mexicana
34Y0ldeyUv7jBvukWOGASO,Bobby Shmurda,58,
6VOoiigTiLVgsMQPP1JOdC,Crissin,52,reggaeton
17SY5q1CMOZJBRuPcKWwPI,J Abdiel,66,
5vakO9fG4OZarrMqZlXbcl,D-Sides,49,electro corridos;dembow belico
0MoaBi6dSquXp6rrlqlF8R,Buscabulla,61,latin indie
3c1sTwL4HuWkrciiKHpnmx,Sparrow & Barbossa,49,afro house;latin house;afro tech;tribal house
0Y34e6XlsBGOdjEyKZzTMB,SowlBeatz,48,reggaeton chileno;chilean trap;chilean mambo
5HeN1Iza4nZe03sFlonddz,Eugenio Esquivel,61,electro corridos;dembow belico;corrido;corridos tumbados;corridos bélicos
5fJsY7afrbsyzJj9wdzJMh,"Tito ""El Bambino""",72,reggaeton;urbano latino
49jTY62Cpw3RYo4dLuG43W,Cian Ducrot,61,
57nPqD7z62gDdq37US9XJR,Arcane,79,score
3EqXv17h2lLZFuAlaTHZad,Nyno,5,manele
12m4a5ljGoe6yyYPpVi7Hr,E.VAX,49,
6xLvSuN3p2uD8IorXxYmHg,ELYSANIJ,39,latin r&b
4boI7bJtmB1L3b1cuL75Zr,Mon Laferte,80,latin alternative
5CAruGjgds3QlF5ICtEnnc,Jairo Vera,68,reggaeton chileno;chilean mambo;chilean trap;mambo;guaracha
1A8aoDrchH5aefQYBCfpLv,Gabriela,35,
5gCRApTajqwbnHHPbr2Fpi,Juicy J,76,crunk
6GKbEjuVNKuuAKetDXA2Mi,Key-Key,57,latin afrobeats
